// extract from <https://www.pastraiser.com/cpu/gameboy/gameboy_opcodes.html>
NOP 1:4 - - - -
LD BC,d16 3:12 - - - -
LD (BC),A 1:8 - - - -
INC BC 1:8 - - - -
INC B 1:4 Z 0 H -
DEC B 1:4 Z 1 H -
LD B,d8 2:8 - - - -
RLCA 1:4 0 0 0 C
LD (a16),SP 3:20 - - - -
ADD HL,BC 1:8 - 0 H C
LD A,(BC) 1:8 - - - -
DEC BC 1:8 - - - -
INC C 1:4 Z 0 H -
DEC C 1:4 Z 1 H -
LD C,d8 2:8 - - - -
RRCA 1:4 0 0 0 C
STOP 0 2:4 - - - -
LD DE,d16 3:12 - - - -
LD (DE),A 1:8 - - - -
INC DE 1:8 - - - -
INC D 1:4 Z 0 H -
DEC D 1:4 Z 1 H -
LD D,d8 2:8 - - - -
RLA 1:4 0 0 0 C
JR r8 2:12 - - - -
ADD HL,DE 1:8 - 0 H C
LD A,(DE) 1:8 - - - -
DEC DE 1:8 - - - -
INC E 1:4 Z 0 H -
DEC E 1:4 Z 1 H -
LD E,d8 2:8 - - - -
RRA 1:4 0 0 0 C
JR NZ,r8 2:12/8 - - - -
LD HL,d16 3:12 - - - -
LD (HL+),A 1:8 - - - -
INC HL 1:8 - - - -
INC H 1:4 Z 0 H -
DEC H 1:4 Z 1 H -
LD H,d8 2:8 - - - -
DAA 1:4 Z - 0 C
JR Z,r8 2:12/8 - - - -
ADD HL,HL 1:8 - 0 H C
LD A,(HL+) 1:8 - - - -
DEC HL 1:8 - - - -
INC L 1:4 Z 0 H -
DEC L 1:4 Z 1 H -
LD L,d8 2:8 - - - -
CPL 1:4 - 1 1 -
JR NC,r8 2:12/8 - - - -
LD SP,d16 3:12 - - - -
LD (HL-),A 1:8 - - - -
INC SP 1:8 - - - -
INC (HL) 1:12 Z 0 H -
DEC (HL) 1:12 Z 1 H -
LD (HL),d8 2:12 - - - -
SCF 1:4 - 0 0 1
JR C,r8 2:12/8 - - - -
ADD HL,SP 1:8 - 0 H C
LD A,(HL-) 1:8 - - - -
DEC SP 1:8 - - - -
INC A 1:4 Z 0 H -
DEC A 1:4 Z 1 H -
LD A,d8 2:8 - - - -
CCF 1:4 - 0 0 C
LD B,B 1:4 - - - -
LD B,C 1:4 - - - -
LD B,D 1:4 - - - -
LD B,E 1:4 - - - -
LD B,H 1:4 - - - -
LD B,L 1:4 - - - -
LD B,(HL) 1:8 - - - -
LD B,A 1:4 - - - -
LD C,B 1:4 - - - -
LD C,C 1:4 - - - -
LD C,D 1:4 - - - -
LD C,E 1:4 - - - -
LD C,H 1:4 - - - -
LD C,L 1:4 - - - -
LD C,(HL) 1:8 - - - -
LD C,A 1:4 - - - -
LD D,B 1:4 - - - -
LD D,C 1:4 - - - -
LD D,D 1:4 - - - -
LD D,E 1:4 - - - -
LD D,H 1:4 - - - -
LD D,L 1:4 - - - -
LD D,(HL) 1:8 - - - -
LD D,A 1:4 - - - -
LD E,B 1:4 - - - -
LD E,C 1:4 - - - -
LD E,D 1:4 - - - -
LD E,E 1:4 - - - -
LD E,H 1:4 - - - -
LD E,L 1:4 - - - -
LD E,(HL) 1:8 - - - -
LD E,A 1:4 - - - -
LD H,B 1:4 - - - -
LD H,C 1:4 - - - -
LD H,D 1:4 - - - -
LD H,E 1:4 - - - -
LD H,H 1:4 - - - -
LD H,L 1:4 - - - -
LD H,(HL) 1:8 - - - -
LD H,A 1:4 - - - -
LD L,B 1:4 - - - -
LD L,C 1:4 - - - -
LD L,D 1:4 - - - -
LD L,E 1:4 - - - -
LD L,H 1:4 - - - -
LD L,L 1:4 - - - -
LD L,(HL) 1:8 - - - -
LD L,A 1:4 - - - -
LD (HL),B 1:8 - - - -
LD (HL),C 1:8 - - - -
LD (HL),D 1:8 - - - -
LD (HL),E 1:8 - - - -
LD (HL),H 1:8 - - - -
LD (HL),L 1:8 - - - -
HALT 1:4 - - - -
LD (HL),A 1:8 - - - -
LD A,B 1:4 - - - -
LD A,C 1:4 - - - -
LD A,D 1:4 - - - -
LD A,E 1:4 - - - -
LD A,H 1:4 - - - -
LD A,L 1:4 - - - -
LD A,(HL) 1:8 - - - -
LD A,A 1:4 - - - -
ADD A,B 1:4 Z 0 H C
ADD A,C 1:4 Z 0 H C
ADD A,D 1:4 Z 0 H C
ADD A,E 1:4 Z 0 H C
ADD A,H 1:4 Z 0 H C
ADD A,L 1:4 Z 0 H C
ADD A,(HL) 1:8 Z 0 H C
ADD A,A 1:4 Z 0 H C
ADC A,B 1:4 Z 0 H C
ADC A,C 1:4 Z 0 H C
ADC A,D 1:4 Z 0 H C
ADC A,E 1:4 Z 0 H C
ADC A,H 1:4 Z 0 H C
ADC A,L 1:4 Z 0 H C
ADC A,(HL) 1:8 Z 0 H C
ADC A,A 1:4 Z 0 H C
SUB B 1:4 Z 1 H C
SUB C 1:4 Z 1 H C
SUB D 1:4 Z 1 H C
SUB E 1:4 Z 1 H C
SUB H 1:4 Z 1 H C
SUB L 1:4 Z 1 H C
SUB (HL) 1:8 Z 1 H C
SUB A 1:4 Z 1 H C
SBC A,B 1:4 Z 1 H C
SBC A,C 1:4 Z 1 H C
SBC A,D 1:4 Z 1 H C
SBC A,E 1:4 Z 1 H C
SBC A,H 1:4 Z 1 H C
SBC A,L 1:4 Z 1 H C
SBC A,(HL) 1:8 Z 1 H C
SBC A,A 1:4 Z 1 H C
AND B 1:4 Z 0 1 0
AND C 1:4 Z 0 1 0
AND D 1:4 Z 0 1 0
AND E 1:4 Z 0 1 0
AND H 1:4 Z 0 1 0
AND L 1:4 Z 0 1 0
AND (HL) 1:8 Z 0 1 0
AND A 1:4 Z 0 1 0
XOR B 1:4 Z 0 0 0
XOR C 1:4 Z 0 0 0
XOR D 1:4 Z 0 0 0
XOR E 1:4 Z 0 0 0
XOR H 1:4 Z 0 0 0
XOR L 1:4 Z 0 0 0
XOR (HL) 1:8 Z 0 0 0
XOR A 1:4 Z 0 0 0
OR B 1:4 Z 0 0 0
OR C 1:4 Z 0 0 0
OR D 1:4 Z 0 0 0
OR E 1:4 Z 0 0 0
OR H 1:4 Z 0 0 0
OR L 1:4 Z 0 0 0
OR (HL) 1:8 Z 0 0 0
OR A 1:4 Z 0 0 0
CP B 1:4 Z 1 H C
CP C 1:4 Z 1 H C
CP D 1:4 Z 1 H C
CP E 1:4 Z 1 H C
CP H 1:4 Z 1 H C
CP L 1:4 Z 1 H C
CP (HL) 1:8 Z 1 H C
CP A 1:4 Z 1 H C
RET NZ 1:20/8 - - - -
POP BC 1:12 - - - -
JP NZ,a16 3:16/12 - - - -
JP a16 3:16 - - - -
CALL NZ,a16 3:24/12 - - - -
PUSH BC 1:16 - - - -
ADD A,d8 2:8 Z 0 H C
RST 00H 1:16 - - - -
RET Z 1:20/8 - - - -
RET 1:16 - - - -
JP Z,a16 3:16/12 - - - -
PREFIX CB 1:4 - - - -
CALL Z,a16 3:24/12 - - - -
CALL a16 3:24 - - - -
ADC A,d8 2:8 Z 0 H C
RST 08H 1:16 - - - -
RET NC 1:20/8 - - - -
POP DE 1:12 - - - -
JP NC,a16 3:16/12 - - - -
 
CALL NC,a16 3:24/12 - - - -
PUSH DE 1:16 - - - -
